16:06:28: 	Неизвестный пользователь: 	Системное сообщение	Ожидается авторизация пользователя
16:06:28: 	Пользователь-1: 	Системное сообщение	Авторизация успешна
16:06:29: 	Пользователь-1: 	Системное сообщение	Программный комплекс включен
16:07:39: 	Пользователь-1: 	Действие оператора	Изменение настроек поезда: 041 ВОЛГОГРАД - АСТРАХАНЬ: Отправление: 16:16 -> 16:17; 
16:23:29: 	Пользователь-1: 	Действие оператора	Изменение настроек поезда: 041 ВОЛГОГРАД - АСТРАХАНЬ: Отправление: 16:17 -> 16:16; 
16:24:29: 	Пользователь-1: 	Действие диспетчера	Выставлена нештатная ситуация
16:24:39: 	Пользователь-1: 	Действие диспетчера	Выставлена нештатная ситуация
16:24:49: 	Пользователь-1: 	Действие диспетчера	Выставлена нештатная ситуация
16:25:00: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:29: 	Пользователь-1: 	Действие диспетчера	Выставлена нештатная ситуация
16:25:29: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:29: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:29: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:30: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:30: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:30: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:30: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:30: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:30: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:30: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:30: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:30: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:31: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:31: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:31: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:31: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
16:25:31: 	Пользователь-1: 	Действие программы	Ожидаемое время события меньше, чем текущее. Флаг нештатной ситуации снят
